age,job,balance,housing,loan,contact,campaign,pdays,poutcome,month_num,was_contacted_previously,age_group,proba_deposit(%),predicted_label
33,management,0.0,no,no,cellular,6.0,0,unknown,8,0,25-35,1.0,no
57,retired,1044.0,no,no,telephone,1.0,192,success,1,1,55-65,90.5,yes
30,technician,655.0,no,no,cellular,2.0,0,unknown,10,0,25-35,55.0,yes
58,retired,499.0,yes,yes,cellular,1.0,0,unknown,1,0,55-65,48.0,no
38,admin.,1767.0,yes,no,cellular,4.0,239,success,7,1,35-45,78.5,yes
40,admin.,27.0,no,no,cellular,2.0,0,unknown,8,0,35-45,34.5,no
36,housemaid,4020.5,yes,no,cellular,6.0,0,unknown,8,0,35-45,30.0,no
47,housemaid,183.0,no,no,cellular,1.0,0,unknown,8,0,45-55,35.0,no
29,unemployed,7.0,no,no,cellular,1.0,179,failure,5,1,25-35,85.5,yes
28,technician,631.0,no,no,cellular,6.0,0,unknown,4,0,25-35,63.5,yes
57,self-employed,2109.0,no,no,cellular,6.0,0,unknown,8,0,55-65,28.5,no
38,blue-collar,0.0,no,no,unknown,5.0,0,unknown,6,0,35-45,19.5,no
49,technician,1091.0,no,no,telephone,2.0,0,unknown,7,0,45-55,28.0,no
35,technician,-180.0,no,yes,cellular,2.0,0,unknown,8,0,25-35,16.0,no
49,management,735.0,yes,no,unknown,3.0,0,unknown,5,0,45-55,33.0,no
31,management,792.0,no,no,cellular,6.0,0,unknown,8,0,25-35,70.0,yes
53,unknown,0.0,no,no,cellular,5.0,0,unknown,8,0,45-55,22.5,no
54,blue-collar,-636.0,yes,no,unknown,3.0,0,unknown,5,0,45-55,5.5,no
42,services,1165.0,yes,no,cellular,6.0,0,unknown,5,0,35-45,20.5,no
69,services,4020.5,no,no,cellular,3.0,0,unknown,7,0,65+,83.5,yes
48,services,-276.0,yes,yes,cellular,1.0,0,unknown,5,0,45-55,29.5,no
66,management,2149.0,yes,no,cellular,6.0,103,other,11,1,65+,56.0,yes
64,retired,679.0,no,no,telephone,1.0,0,unknown,11,0,55-65,70.0,yes
31,management,1343.0,yes,yes,unknown,1.0,0,unknown,5,0,25-35,23.0,no
38,admin.,262.0,no,no,cellular,2.0,180,failure,2,1,35-45,72.0,yes
58,blue-collar,3027.0,yes,no,cellular,1.0,0,unknown,4,0,55-65,56.58,yes
39,technician,2118.0,yes,no,cellular,2.0,0,unknown,4,0,35-45,72.0,yes
50,entrepreneur,78.0,no,no,telephone,1.0,0,unknown,6,0,45-55,57.5,yes
34,entrepreneur,714.0,yes,no,unknown,4.0,0,unknown,5,0,25-35,23.0,no
41,blue-collar,0.0,no,no,unknown,2.0,0,unknown,6,0,35-45,12.0,no
49,blue-collar,23.0,yes,no,unknown,1.0,0,unknown,5,0,45-55,9.0,no
43,blue-collar,0.0,no,no,cellular,1.0,0,unknown,7,0,35-45,36.5,no
32,management,312.0,no,no,cellular,2.0,98,success,5,1,25-35,95.0,yes
30,management,7.0,yes,no,cellular,1.0,164,other,8,1,25-35,56.0,yes
51,technician,0.0,yes,no,unknown,2.0,0,unknown,5,0,45-55,1.5,no
46,technician,111.0,yes,no,cellular,3.0,183,other,11,1,45-55,39.0,no
41,management,65.0,yes,no,unknown,2.0,0,unknown,5,0,35-45,22.5,no
34,technician,1026.0,no,no,cellular,1.0,100,failure,11,1,25-35,61.0,yes
30,management,726.0,yes,no,cellular,1.0,342,failure,4,1,25-35,71.0,yes
51,blue-collar,0.0,yes,no,telephone,4.0,0,unknown,5,0,45-55,23.0,no
37,entrepreneur,189.0,no,no,cellular,2.0,0,unknown,6,0,35-45,61.0,yes
49,management,20.0,yes,no,cellular,1.0,0,unknown,2,0,45-55,61.5,yes
41,management,4020.5,yes,no,cellular,1.0,0,unknown,11,0,35-45,5.0,no
38,technician,1130.0,no,no,cellular,2.0,98,success,6,1,35-45,91.5,yes
68,retired,2820.0,no,no,cellular,1.0,92,success,3,1,65+,97.5,yes
35,entrepreneur,4020.5,yes,no,cellular,3.0,0,unknown,5,0,25-35,49.0,no
38,technician,206.0,no,no,cellular,2.0,0,unknown,4,0,35-45,89.0,yes
36,management,93.0,no,no,cellular,2.0,182,failure,7,1,35-45,69.5,yes
29,self-employed,1.0,no,no,cellular,3.0,0,unknown,7,0,25-35,42.5,no
33,services,2297.0,no,no,cellular,1.0,0,unknown,7,0,25-35,90.5,yes
36,management,806.0,yes,no,cellular,2.0,259,failure,2,1,35-45,27.0,no
30,management,4020.5,no,no,cellular,1.0,84,success,8,1,25-35,92.5,yes
53,management,4020.5,no,no,unknown,3.0,0,unknown,6,0,45-55,20.5,no
48,blue-collar,363.0,yes,no,unknown,6.0,0,unknown,6,0,45-55,16.5,no
37,technician,0.0,no,no,unknown,1.0,0,unknown,6,0,35-45,24.0,no
40,technician,3652.0,yes,no,unknown,2.0,0,unknown,5,0,35-45,34.5,no
42,blue-collar,790.0,yes,no,unknown,2.0,0,unknown,5,0,35-45,15.0,no
54,unemployed,582.0,yes,no,cellular,5.0,372,failure,5,1,45-55,33.0,no
46,management,802.0,yes,no,telephone,1.0,0,unknown,7,0,45-55,42.0,no
24,self-employed,91.0,yes,no,cellular,2.0,0,unknown,5,0,<25,77.0,yes
48,blue-collar,816.0,yes,no,cellular,6.0,0,unknown,7,0,45-55,24.0,no
30,management,2876.0,no,no,cellular,4.0,0,unknown,8,0,25-35,78.0,yes
31,services,2038.0,yes,no,unknown,1.0,0,unknown,5,0,25-35,4.0,no
46,technician,4020.5,yes,no,cellular,2.0,0,unknown,8,0,45-55,40.5,no
32,blue-collar,-1.0,yes,no,unknown,1.0,0,unknown,5,0,25-35,16.0,no
76,housemaid,1411.0,no,no,telephone,3.0,0,unknown,4,0,65+,64.0,yes
35,management,2707.0,no,no,cellular,1.0,0,unknown,2,0,25-35,87.5,yes
36,technician,4020.5,no,no,cellular,1.0,134,failure,4,1,35-45,77.5,yes
27,technician,489.0,yes,no,cellular,4.0,0,unknown,7,0,25-35,57.0,yes
48,blue-collar,237.0,yes,no,unknown,6.0,0,unknown,6,0,45-55,15.5,no
59,management,4020.5,no,no,cellular,2.0,0,unknown,11,0,55-65,38.0,no
26,student,100.0,no,no,cellular,1.0,0,unknown,5,0,25-35,81.5,yes
28,student,61.0,yes,no,cellular,6.0,0,unknown,7,0,25-35,53.5,yes
38,management,399.0,yes,no,cellular,4.0,0,unknown,8,0,35-45,49.0,no
36,unemployed,154.0,no,no,cellular,6.0,0,unknown,8,0,35-45,38.0,no
32,management,282.0,no,no,cellular,2.0,0,unknown,8,0,25-35,45.5,no
39,entrepreneur,2139.0,yes,no,cellular,4.0,371,failure,5,1,35-45,39.5,no
33,technician,66.0,no,no,cellular,2.0,0,unknown,6,0,25-35,65.0,yes
36,management,4.0,no,yes,cellular,6.0,0,unknown,7,0,35-45,20.5,no
49,blue-collar,298.0,yes,no,cellular,2.0,86,failure,4,1,45-55,67.5,yes
34,blue-collar,261.0,yes,no,cellular,5.0,251,failure,2,1,25-35,17.0,no
26,management,4020.5,yes,no,unknown,2.0,0,unknown,5,0,25-35,25.0,no
26,management,1646.0,no,no,cellular,4.0,206,success,4,1,25-35,85.5,yes
26,technician,-119.0,no,yes,cellular,5.0,0,unknown,7,0,25-35,42.5,no
46,self-employed,526.0,no,no,cellular,1.0,87,other,4,1,45-55,70.5,yes
47,admin.,3676.0,no,no,cellular,2.0,342,other,7,1,45-55,91.5,yes
32,technician,-300.0,no,no,cellular,6.0,0,unknown,8,0,25-35,43.67,no
49,blue-collar,298.0,yes,no,cellular,3.0,0,unknown,2,0,45-55,66.0,yes
25,student,722.0,no,no,telephone,2.0,0,unknown,4,0,<25,32.5,no
46,services,5.0,yes,yes,cellular,2.0,0,unknown,1,0,45-55,35.0,no
29,blue-collar,79.0,yes,no,unknown,2.0,0,unknown,5,0,25-35,36.5,no
31,blue-collar,2591.0,yes,no,cellular,1.0,0,unknown,11,0,25-35,19.5,no
23,blue-collar,105.0,yes,no,unknown,2.0,0,unknown,5,0,<25,26.5,no
31,admin.,-422.0,yes,no,cellular,2.0,329,other,5,1,25-35,43.5,no
40,technician,-496.0,no,no,telephone,2.0,0,unknown,7,0,35-45,20.5,no
48,housemaid,513.0,no,yes,cellular,3.0,0,unknown,7,0,45-55,23.0,no
39,admin.,223.0,no,no,cellular,1.0,0,unknown,2,0,35-45,76.5,yes
29,management,637.0,yes,no,cellular,1.0,119,failure,6,1,25-35,82.0,yes
53,management,241.0,yes,no,cellular,1.0,0,unknown,11,0,45-55,38.5,no
38,blue-collar,172.0,yes,no,cellular,1.0,0,unknown,4,0,35-45,17.0,no
43,blue-collar,413.0,yes,no,cellular,2.0,182,success,8,1,35-45,92.0,yes
50,entrepreneur,199.0,no,no,cellular,2.0,363,failure,5,1,45-55,31.0,no
32,admin.,291.0,no,no,telephone,6.0,275,other,1,1,25-35,38.0,no
40,blue-collar,-90.0,yes,no,unknown,1.0,0,unknown,5,0,35-45,0.0,no
29,management,1445.0,no,no,cellular,2.0,143,success,4,1,25-35,93.0,yes
42,blue-collar,-68.0,yes,yes,unknown,1.0,0,unknown,5,0,35-45,0.5,no
47,services,-150.0,no,no,cellular,4.0,0,unknown,8,0,45-55,21.5,no
26,services,209.0,yes,no,cellular,2.0,0,unknown,7,0,25-35,67.0,yes
37,services,981.0,no,no,cellular,2.0,386,success,7,1,35-45,88.5,yes
23,student,565.0,no,no,cellular,6.0,0,unknown,5,0,<25,59.5,yes
60,management,474.0,no,no,cellular,5.0,186,other,8,1,55-65,82.0,yes
25,student,505.0,yes,no,cellular,1.0,0,unknown,5,0,<25,63.0,yes
41,technician,515.0,no,no,cellular,2.0,0,unknown,8,0,35-45,39.5,no
56,blue-collar,316.0,yes,no,unknown,1.0,0,unknown,5,0,55-65,59.5,yes
28,technician,2335.0,no,no,cellular,1.0,0,unknown,5,0,25-35,91.5,yes
52,blue-collar,1409.0,yes,no,unknown,1.0,0,unknown,6,0,45-55,27.0,no
59,technician,1.0,no,no,cellular,2.0,378,failure,4,1,55-65,66.5,yes
30,admin.,370.0,yes,no,unknown,1.0,0,unknown,5,0,25-35,11.5,no
31,blue-collar,55.0,yes,yes,cellular,2.0,0,unknown,4,0,25-35,44.0,no
21,student,423.0,no,no,cellular,5.0,0,unknown,4,0,<25,87.0,yes
34,services,22.0,yes,no,unknown,1.0,0,unknown,5,0,25-35,17.5,no
25,blue-collar,389.0,no,no,cellular,1.0,0,unknown,6,0,<25,91.5,yes
34,management,3050.0,yes,no,cellular,1.0,0,unknown,5,0,25-35,69.0,yes
38,management,0.0,no,no,cellular,6.0,197,failure,9,1,35-45,54.0,yes
37,management,4020.5,no,no,cellular,1.0,0,unknown,3,0,35-45,93.5,yes
26,services,54.0,yes,no,unknown,1.0,0,unknown,5,0,25-35,31.5,no
49,services,463.0,yes,no,telephone,2.0,0,unknown,7,0,45-55,15.0,no
35,technician,1001.0,no,yes,cellular,2.0,0,unknown,7,0,25-35,37.0,no
30,technician,450.0,no,yes,cellular,4.0,0,unknown,7,0,25-35,27.5,no
61,technician,1191.0,no,no,cellular,4.0,0,unknown,5,0,55-65,82.0,yes
29,blue-collar,59.0,yes,yes,cellular,4.0,0,unknown,7,0,25-35,75.5,yes
31,blue-collar,573.0,yes,no,telephone,1.0,269,failure,2,1,25-35,16.5,no
57,unemployed,890.0,no,no,cellular,4.0,0,unknown,2,0,55-65,49.0,no
47,unemployed,0.0,no,yes,cellular,2.0,233,other,1,1,45-55,26.0,no
42,management,0.0,no,no,cellular,2.0,0,unknown,8,0,35-45,3.5,no
50,blue-collar,3558.0,no,no,cellular,6.0,0,unknown,8,0,45-55,13.5,no
43,technician,34.0,no,no,telephone,1.0,0,unknown,7,0,35-45,25.5,no
32,management,124.0,no,no,cellular,2.0,0,unknown,2,0,25-35,62.5,yes
56,self-employed,411.0,no,no,unknown,4.0,0,unknown,6,0,55-65,17.0,no
56,technician,1561.0,no,no,cellular,1.0,0,unknown,8,0,55-65,79.0,yes
21,student,123.0,no,no,telephone,1.0,0,unknown,8,0,<25,41.0,no
32,services,785.0,no,no,cellular,1.0,0,unknown,6,0,25-35,61.0,yes
57,housemaid,0.0,no,no,unknown,1.0,0,unknown,6,0,55-65,31.0,no
52,entrepreneur,7.0,no,no,cellular,5.0,0,unknown,7,0,45-55,37.0,no
46,self-employed,0.0,no,no,unknown,1.0,0,unknown,8,0,45-55,14.0,no
29,management,428.0,no,no,cellular,2.0,0,unknown,5,0,25-35,90.5,yes
34,entrepreneur,4020.5,yes,no,cellular,1.0,0,unknown,5,0,25-35,42.5,no
32,technician,4020.5,yes,yes,cellular,1.0,128,failure,11,1,25-35,25.5,no
37,management,0.0,no,no,unknown,6.0,0,unknown,6,0,35-45,17.5,no
37,management,255.0,no,no,cellular,2.0,183,success,2,1,35-45,92.5,yes
48,admin.,83.0,yes,no,cellular,1.0,0,unknown,5,0,45-55,44.5,no
25,blue-collar,2007.0,no,no,cellular,2.0,0,unknown,1,0,<25,70.0,yes
50,unemployed,588.0,no,no,cellular,3.0,0,unknown,7,0,45-55,41.0,no
58,management,2183.0,yes,no,cellular,1.0,0,unknown,7,0,55-65,29.5,no
40,admin.,100.0,yes,no,cellular,1.0,461,success,8,1,35-45,90.5,yes
34,self-employed,1972.0,yes,no,cellular,2.0,0,unknown,7,0,25-35,23.5,no
51,management,0.0,yes,yes,unknown,5.0,0,unknown,5,0,45-55,17.0,no
35,technician,84.0,yes,yes,cellular,1.0,0,unknown,5,0,25-35,67.0,yes
33,blue-collar,379.0,yes,yes,cellular,2.0,0,unknown,6,0,25-35,48.0,no
48,unemployed,201.0,no,no,cellular,2.0,92,success,2,1,45-55,98.5,yes
71,retired,2850.0,no,no,cellular,1.0,0,unknown,2,0,65+,84.0,yes
49,technician,1807.0,yes,no,cellular,1.0,82,success,6,1,45-55,91.0,yes
39,blue-collar,3.0,no,yes,unknown,1.0,0,unknown,7,0,35-45,9.0,no
26,blue-collar,2007.0,no,no,cellular,1.0,92,success,10,1,25-35,88.5,yes
40,management,257.0,no,no,cellular,1.0,209,failure,2,1,35-45,61.5,yes
28,blue-collar,-46.0,yes,no,cellular,1.0,89,failure,3,1,25-35,56.5,yes
36,blue-collar,222.0,yes,no,unknown,1.0,0,unknown,5,0,35-45,17.5,no
60,blue-collar,414.0,no,no,cellular,1.0,0,unknown,2,0,55-65,59.0,yes
22,self-employed,2138.0,no,yes,cellular,1.0,109,other,8,1,<25,73.5,yes
31,admin.,217.0,yes,no,cellular,2.0,0,unknown,1,0,25-35,43.5,no
46,blue-collar,336.0,yes,no,cellular,3.0,457,other,8,1,45-55,69.5,yes
36,management,495.0,no,no,cellular,1.0,37,success,9,1,35-45,83.0,yes
33,blue-collar,370.0,yes,no,cellular,1.0,0,unknown,4,0,25-35,30.5,no
38,management,165.0,yes,no,cellular,1.0,260,other,4,1,35-45,43.0,no
35,self-employed,71.0,no,no,cellular,1.0,0,unknown,6,0,25-35,68.0,yes
35,admin.,507.0,yes,no,cellular,2.0,0,unknown,7,0,25-35,33.5,no
53,retired,0.0,no,yes,unknown,1.0,0,unknown,6,0,45-55,36.0,no
39,unemployed,1654.0,no,no,unknown,6.0,0,unknown,6,0,35-45,52.5,yes
43,blue-collar,0.0,yes,no,unknown,1.0,0,unknown,5,0,35-45,1.5,no
41,blue-collar,203.0,no,no,cellular,2.0,0,unknown,7,0,35-45,56.5,yes
49,management,4020.5,no,no,cellular,2.0,0,unknown,11,0,45-55,50.0,no
39,technician,902.0,yes,no,cellular,2.0,180,failure,2,1,35-45,52.5,yes
40,entrepreneur,0.0,no,no,unknown,4.0,0,unknown,6,0,35-45,19.5,no
42,blue-collar,1598.0,yes,yes,cellular,2.0,0,unknown,4,0,35-45,22.0,no
36,management,4020.5,yes,no,unknown,1.0,0,unknown,5,0,35-45,19.0,no
41,admin.,882.0,yes,yes,unknown,2.0,0,unknown,5,0,35-45,9.5,no
37,blue-collar,1796.0,yes,yes,cellular,2.0,0,unknown,4,0,35-45,27.0,no
30,self-employed,2666.0,no,no,cellular,2.0,93,success,8,1,25-35,95.5,yes
27,services,1347.0,no,no,telephone,1.0,193,success,12,1,25-35,88.5,yes
59,admin.,2343.0,yes,no,unknown,1.0,0,unknown,5,0,55-65,19.5,no
28,blue-collar,38.0,yes,no,unknown,1.0,0,unknown,5,0,25-35,8.0,no
52,blue-collar,230.0,yes,no,cellular,2.0,170,failure,5,1,45-55,43.0,no
34,blue-collar,3986.0,yes,no,cellular,2.0,0,unknown,4,0,25-35,39.5,no
29,services,191.0,yes,no,cellular,1.0,0,unknown,4,0,25-35,37.5,no
27,technician,4020.5,yes,no,unknown,6.0,0,unknown,5,0,25-35,30.5,no
44,housemaid,299.0,no,no,cellular,1.0,0,unknown,11,0,35-45,48.0,no
25,management,1272.0,yes,no,cellular,2.0,0,unknown,7,0,<25,68.0,yes
30,admin.,523.0,no,yes,cellular,1.0,0,unknown,3,0,25-35,51.5,yes
55,retired,816.0,no,no,cellular,3.0,0,unknown,11,0,45-55,50.5,yes
46,blue-collar,1568.0,yes,no,cellular,1.0,55,other,6,1,45-55,74.0,yes
39,unemployed,265.0,yes,no,unknown,1.0,555,other,5,1,35-45,57.0,yes
70,retired,275.0,no,no,cellular,1.0,0,unknown,4,0,65+,96.0,yes
59,services,1.0,yes,no,cellular,1.0,253,other,1,1,55-65,40.0,no
33,management,808.0,yes,no,cellular,6.0,0,unknown,8,0,25-35,18.0,no
29,housemaid,417.0,no,no,cellular,2.0,0,unknown,7,0,25-35,45.0,no
40,admin.,985.0,yes,no,cellular,3.0,50,failure,6,1,35-45,47.0,no
29,student,2929.0,no,no,cellular,1.0,0,unknown,8,0,25-35,88.5,yes
31,management,459.0,no,no,cellular,6.0,0,unknown,8,0,25-35,41.0,no
31,management,859.0,yes,yes,cellular,3.0,0,unknown,8,0,25-35,34.5,no
28,technician,0.0,yes,no,cellular,1.0,40,failure,5,1,25-35,64.5,yes
42,technician,1364.0,yes,no,unknown,6.0,0,unknown,5,0,35-45,35.5,no
43,technician,4020.5,yes,no,cellular,2.0,0,unknown,8,0,35-45,21.5,no
57,retired,168.0,no,no,cellular,1.0,0,unknown,8,0,55-65,31.5,no
62,management,997.0,no,no,cellular,1.0,304,success,4,1,55-65,95.0,yes
34,blue-collar,3527.0,yes,no,cellular,1.0,0,unknown,11,0,25-35,22.5,no
46,management,-130.0,yes,no,cellular,2.0,0,unknown,3,0,45-55,50.0,no
35,admin.,777.0,no,yes,cellular,1.0,0,unknown,5,0,25-35,53.5,yes
55,blue-collar,410.0,no,yes,cellular,2.0,0,unknown,7,0,45-55,23.5,no
30,unemployed,463.0,no,no,cellular,4.0,0,unknown,8,0,25-35,21.5,no
40,management,4020.5,no,no,cellular,3.0,439,failure,7,1,35-45,85.0,yes
33,management,2364.0,no,no,cellular,1.0,0,unknown,5,0,25-35,79.0,yes
48,entrepreneur,183.0,yes,no,unknown,6.0,0,unknown,6,0,45-55,19.0,no
32,admin.,35.0,no,no,cellular,3.0,126,success,12,1,25-35,86.0,yes
35,unemployed,1054.0,yes,yes,cellular,1.0,0,unknown,11,0,25-35,25.5,no
28,blue-collar,61.0,yes,no,cellular,1.0,174,success,2,1,25-35,79.0,yes
24,management,86.0,no,no,unknown,2.0,0,unknown,6,0,<25,41.5,no
24,management,1.0,no,no,cellular,5.0,0,unknown,5,0,<25,73.0,yes
53,housemaid,292.0,no,no,unknown,2.0,0,unknown,6,0,45-55,5.5,no
54,retired,522.0,no,yes,cellular,3.0,0,unknown,7,0,45-55,46.0,no
50,admin.,4020.5,no,no,cellular,1.0,0,unknown,11,0,45-55,42.0,no
32,management,718.0,yes,no,cellular,1.0,197,success,12,1,25-35,80.5,yes
33,management,4020.5,no,no,cellular,1.0,0,unknown,11,0,25-35,57.0,yes
46,self-employed,2032.0,no,no,cellular,2.0,0,unknown,7,0,45-55,56.0,yes
44,technician,1901.0,no,no,cellular,2.0,0,unknown,8,0,35-45,25.0,no
37,management,393.0,yes,no,cellular,2.0,104,success,8,1,35-45,91.5,yes
27,technician,2.0,yes,yes,cellular,2.0,356,failure,5,1,25-35,38.5,no
35,admin.,318.0,yes,yes,cellular,1.0,0,unknown,10,0,25-35,44.0,no
32,management,41.0,no,no,cellular,5.0,0,unknown,8,0,25-35,13.5,no
47,technician,2283.0,yes,no,cellular,2.0,0,unknown,11,0,45-55,61.0,yes
52,blue-collar,331.0,no,no,cellular,4.0,0,unknown,8,0,45-55,53.0,yes
43,technician,0.0,yes,no,cellular,2.0,342,failure,5,1,35-45,19.0,no
27,admin.,1293.0,yes,no,cellular,3.0,0,unknown,4,0,25-35,58.0,yes
48,blue-collar,343.0,no,no,unknown,1.0,0,unknown,6,0,45-55,32.5,no
66,retired,2883.0,no,no,cellular,1.0,0,unknown,4,0,65+,77.5,yes
35,management,53.0,yes,no,cellular,1.0,0,unknown,11,0,25-35,20.0,no
